City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulsteinvik,62.3432,5.8487,2.64,60,0,3.13,NO,1698708858
1,new norfolk,-42.7826,147.0587,13.72,45,40,5.58,AU,1698708861
2,port-aux-francais,-49.35,70.2167,3.07,94,99,18.05,TF,1698708856
3,waitangi,-43.9535,-176.5597,14.34,81,100,5.36,NZ,1698708865
4,port lincoln,-34.7333,135.8667,14.84,49,64,4.48,AU,1698708917
5,fuman,37.2273,49.3142,16.74,60,100,1.95,IR,1698709152
6,edinburgh of the seven seas,-37.0676,-12.3116,12.95,93,95,13.3,SH,1698708870
7,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,82,0,5.0,RU,1698708911
8,saldanha,-33.0117,17.9442,17.03,66,0,4.58,ZA,1698709153
9,reitz,-27.8014,28.4273,4.2,95,100,7.31,ZA,1698709153
10,tsiombe,-25.3,45.4833,20.58,90,96,2.15,MG,1698708920
11,grytviken,-54.2811,-36.5092,4.22,82,8,3.16,GS,1698708842
12,noumea,-22.2763,166.4572,24.99,63,2,5.13,NC,1698709081
13,punta arenas,-53.15,-70.9167,5.62,60,64,5.25,CL,1698708866
14,san luis de la loma,17.2706,-100.8939,27.17,85,24,1.54,MX,1698708893
15,enewetak,11.3474,162.3373,28.69,79,94,10.03,MH,1698708843
16,albany,42.6001,-73.9662,7.58,82,100,0.89,US,1698708519
17,pyay,18.8167,95.2167,22.46,86,73,2.08,MM,1698709153
18,st. john's,47.5649,-52.7093,2.1,87,100,0.89,CA,1698708859
19,djibo,14.1022,-1.6306,30.98,13,5,4.17,BF,1698709154
20,naryn,41.4287,75.9911,6.79,48,100,1.38,KG,1698709154
21,talnakh,69.4865,88.3972,-16.55,96,100,2.21,RU,1698708878
22,bayanhongor,46.7167,100.1167,-4.03,77,82,1.73,MN,1698709154
23,bandarbeyla,9.4942,50.8122,26.41,82,99,4.86,SO,1698708995
24,adamstown,-25.066,-130.1015,23.1,71,100,3.09,PN,1698708852
25,udachny,66.4167,112.4,-22.19,100,97,2.2,RU,1698708859
26,rikaze,29.25,88.8833,0.81,63,1,1.08,CN,1698709154
27,kisangani,0.5167,25.2,21.88,95,31,1.34,CD,1698709154
28,borger,52.9233,6.7931,12.04,94,100,3.33,NL,1698709155
29,pisco,-13.7,-76.2167,21.03,73,57,8.23,PE,1698708937
30,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698708885
31,puerto natales,-51.7236,-72.4875,2.26,68,44,1.47,CL,1698708827
32,port elizabeth,-33.918,25.5701,15.16,89,75,7.2,ZA,1698708879
33,tiksi,71.6872,128.8694,-21.85,100,33,1.02,RU,1698708868
34,duyun,26.2667,107.5167,15.09,80,100,0.57,CN,1698709155
35,atafu village,-8.5421,-172.5159,28.94,76,69,6.45,TK,1698708909
36,lihue,21.9789,-159.3672,27.77,68,0,4.12,US,1698708869
37,wynyard,-41.0,145.7167,13.32,55,8,6.53,AU,1698708944
38,ushuaia,-54.8,-68.3,3.81,65,75,9.26,AR,1698708843
39,vilyuchinsk,52.9306,158.4028,5.15,66,52,3.53,RU,1698708948
40,port mathurin,-19.6833,63.4167,24.62,81,3,7.9,MU,1698709147
41,ribeira grande,38.5167,-28.7,19.87,82,22,6.71,PT,1698708855
42,troitsko-pechorsk,62.7084,56.1964,-7.39,98,99,1.34,RU,1698709156
43,east london,-33.0153,27.9116,14.48,81,67,4.08,ZA,1698708593
44,laojunmiao,39.8333,97.7333,4.97,29,51,0.44,CN,1698708995
45,jalai nur,49.45,117.7,-4.69,61,87,2.64,CN,1698709156
46,rundu,-17.9333,19.7667,23.32,54,3,3.96,NA,1698709156
47,arkhangel'sk,64.5401,40.5433,-8.26,97,44,1.9,RU,1698709096
48,turpan,42.9333,89.1667,13.33,38,29,1.32,CN,1698708949
